split	source	reference	greedy	beam
uqa_valid	نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے 10 ویں اور 11 ویں صدیوں میں <ans> فرانس </ans> کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنڈی کس ملک میں واقع ہے؟	نارمن نے 10 ویں اور 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں اور	10 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں اور 11 ویں 11 ویں 11 ویں 11 ویں 11 ویں صدی میں کس ملک کے خطے کو
uqa_valid	نارمنز (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں </ans> میں فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	فرانسز کے فرانسیسی علاقوں کو کب نام دیا گیا تھا؟	نارمنز نے فرانس کے علاقے کو اپنا نام کب دیا؟
uqa_valid	نارمن (Norman: Nourmands؛ French: Normands؛ Latin: Normanni) وہ لوگ تھے جنہوں نے <ans> دسویں اور گیارہویں صدیوں میں </ans> فرانس کے ایک خطے نارمنڈی کو اپنا نام دیا۔	نارمنز نارمنڈی میں کب تھے؟	فرانس کے فرانسیسی یہودی علاقوں کو کب نام دیا گیا تھا؟	فرانس نے فرانس کے علاقے کو اپنا نام کب تبدیل کیا؟
uqa_valid	وہ <ans> ڈنمارک ، آئس لینڈ اور ناروے </ans> کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما رولو کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس کس ملک سے پیدا ہوئے تھے؟	کون سے تین ممالک نے مغربی ممالک کے بادشاہ کے ساتھ اپنے کھانے کے ساتھ کھانے کی کوشش کی؟	کون سے تین ممالک نے مغربی ممالک کے بادشاہ لوئس کے ساتھ اپنے کھانے کے کھانے کی مخالفت کی؟
uqa_valid	وہ ڈنمارک ، آئس لینڈ اور ناروے کے نارمن (نورمن نارمن سے آتا ہے) حملہ آوروں اور قزاقوں سے descended تھے ، جنہوں نے اپنے رہنما <ans> رولو </ans> کے تحت ، مغربی فرانس کے بادشاہ چارلس III کے ساتھ وفاداری کی قسم کھانے پر اتفاق کیا۔	نورس لیڈر کون تھا؟	کون سا رہنما بادشاہ کے بادشاہ چارلس اسپین کے ساتھ وفاداری کھانے پر اتفاق کرتا تھا؟	کون سا رہنما بادشاہ کے بادشاہ چارلس پر مشتمل تھا؟
uqa_valid	نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی </ans> کے پہلے نصف میں سامنے آئی ، اور اس نے بعد کی صدیوں میں ترقی جاری رکھی۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن کی ثقافتی ثقافتی شناخت کب سامنے آئی؟	نارمن کی تقسیم ثقافتی طور پر کس صدی میں سامنے آئی؟
uqa_valid	نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں صدی کے پہلے نصف </ans> میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن کی ثقافتی ثقافتی شناخت کب نمودار ہوئی؟	نارمن کی ثقافت ثقافتی طور پر کب نمودار ہوئی؟
uqa_valid	نارمن کی الگ ثقافتی اور نسلی شناخت ابتدائی طور پر <ans> دسویں </ans> صدی کے پہلے نصف میں سامنے آئی ، اور اس نے آنے والی صدیوں میں تیار ہونا جاری رکھا۔	کس صدی میں نارمنز نے پہلی بار اپنی علیحدہ شناخت حاصل کی؟	نارمن کی ابتدائی ثقافتی شناخت کس صدی میں سامنے آئی؟	نارمن کی ابتدائی ثقافتی شناخت کس صدی میں سامنے آئی؟
uqa_valid	نارمن مہم جوئیوں نے جنوبی اٹلی کو سارسین اور بازنطینیوں پر فتح کرنے کے بعد روجر دوم کے تحت سسلی کی بادشاہی کی بنیاد رکھی ، اور ان کے ڈیوک ، <ans> ولیم فاتح </ans> کی طرف سے ایک مہم نے 1066 میں ہیسٹنگز کی لڑائی میں انگلینڈ کی نارمن فتح کی قیادت کی۔	ہیسٹنگس کی لڑائی میں ڈیوک کون تھا؟	کون سا گروپنگ نے ہیسٹنگز کی لڑائی لڑی؟	سٹنگز کی لڑائی کس نے کی؟
uqa_valid	ڈچی آف نارمنڈی ، جسے انہوں نے فرانسیسی تاج کے ساتھ معاہدے کے ذریعہ تشکیل دیا ، قرون وسطی کے فرانس کا ایک عظیم فیوڈ تھا ، اور نارمنڈی کے <ans> رچرڈ اول </ans> کے تحت ایک مربوط اور خوفناک شہنشاہی میں تشکیل دیا گیا تھا۔	جو نورمنڈی کے ڈچی پر حکمرانی کی	کون سا بادشاہ تشکیل دیا گیا تھا؟	کون سا بادشاہ تشکیل دیا گیا تھا؟
